OBJECTID,Basin_Number,Basin_Subbasin_Number,Basin_Name,Basin_Subbasin_Name,Region_Office,GlobalID
391,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,NRO,{550849D0-9586-46A0-940F-B620FAC1C875}
392,1-015,1-015,HAPPY CAMP TOWN AREA,HAPPY CAMP TOWN AREA,NRO,{9C178EFC-F1D9-461D-8C20-D9015588E35E}
393,5-001,5-001.01,GOOSE LAKE,GOOSE LAKE - GOOSE VALLEY,NRO,{B53F2F66-B078-4E49-92C3-F4EDF222125D}
394,1-016,1-016,SEIAD VALLEY,SEIAD VALLEY,NRO,{8FFD0326-6770-49C9-A859-767025476DFD}
395,6-001,6-001,SURPRISE VALLEY,SURPRISE VALLEY,NRO,{5041614B-ACFF-4E33-B9A6-87B586AD1F5E}
396,6-091,6-091,COW HEAD LAKE VALLEY,COW HEAD LAKE VALLEY,NRO,{73E8F066-DFC7-4A27-9B38-25A99B55D94D}
397,5-001,5-001.02,GOOSE LAKE,GOOSE LAKE - FANDANGO VALLEY,NRO,{53A75847-DE8E-49A0-89E3-7DE598D3425E}
398,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,NRO,{4CD60F12-EF57-4820-B852-853097A573A1}
399,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,NRO,{374607EF-33B2-4FA6-8118-C5C1C0B050D8}
400,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,NRO,{6D18FC06-7924-401F-AFF8-D90EE7C113EE}
401,1-054,1-054.01,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,NCRO,{1DF1524E-E6FB-4BC8-A946-30C5A07DB5B5}
402,5-022,5-022.03,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TURLOCK,SCRO,{942AA0BC-F275-47F8-BD35-52BABEF6C541}
403,4-011,4-011.03,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,SRO,{F77A6A0F-6948-483F-A410-F99C89B10579}
404,3-052,3-052,NEEDLE ROCK POINT,NEEDLE ROCK POINT,SCRO,{B3D379CD-3C56-4D18-A964-30891A681F19}
405,3-004,3-004.01,SALINAS VALLEY,SALINAS VALLEY - 180/400 FOOT AQUIFER,SCRO,{C6859F92-DC62-4257-8BE7-F0FEF85C812A}
406,2-009,2-009.03,SANTA CLARA VALLEY,SANTA CLARA VALLEY - SAN MATEO PLAIN,NCRO,{1CDFE7AC-4658-4305-AF24-E4BC08D24298}
407,8-009,8-009,BEAR VALLEY,BEAR VALLEY,SRO,{92AAE912-EFE5-4DF5-B3E9-01F542895C16}
408,9-004,9-004,SANTA MARGARITA VALLEY,SANTA MARGARITA VALLEY,SRO,{9A3AB3C2-9D48-457D-A011-F9A4F631A20A}
409,1-010,1-010,EEL RIVER VALLEY,EEL RIVER VALLEY,NRO,{C32E8ED1-C64F-4D18-A7A2-26C7A4FB1E25}
410,9-014,9-014,MISSION VALLEY,MISSION VALLEY,SRO,{80F3130D-8AA3-47C9-9D09-8BE863A997D6}
411,3-002,3-002.02,CORRALITOS,CORRALITOS - PURISIMA HIGHLANDS,SCRO,{CF6FBFB5-CD9F-4D7B-96DA-681D1102BF8F}
412,3-002,3-002.01,CORRALITOS,CORRALITOS - PAJARO VALLEY,SCRO,{817D2055-935D-432D-BA3B-7BA656C164C5}
413,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,SCRO,{95D0F677-4737-4508-8FB9-27E9DF2B6855}
414,3-004,3-004.08,SALINAS VALLEY,SALINAS VALLEY - SEASIDE,SCRO,{9E1A5B45-C6D8-46F3-A0FC-364A46285C28}
415,5-022,5-022.10,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - PLEASANT VALLEY,SCRO,{3A328FD4-871B-4799-A86E-D3CFA5F7A56C}
416,5-022,5-022.18,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - WHITE WOLF,SCRO,{383CDF8C-98CF-4CE0-B148-D2148EEC3324}
417,5-022,5-022.17,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KETTLEMAN PLAIN,SCRO,{24264946-E0EA-4C55-8C03-EF9110E17F2A}
418,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,NRO,{B0EBA0EA-7A24-49F5-BA6C-1E60C2C845C8}
419,7-024,7-024.01,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,SRO,{E9B74FB7-E5BA-4BA9-8633-8AE84AA8512E}
420,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,SRO,{BBED35EC-0BC6-44C8-AEDA-D7B1D2C76BB2}
421,6-012,6-012.02,OWENS VALLEY,OWENS VALLEY - FISH SLOUGH,SRO,{E65CEB43-B177-40ED-8D29-A3F9802F4838}
422,3-053,3-053,FOOTHILL,FOOTHILL,SRO,{77CEAEA3-70C7-4129-B905-0DE9E8373444}
423,4-006,4-006,PLEASANT VALLEY,PLEASANT VALLEY,SRO,{70BA9105-586A-4A25-B8BE-800FDAB023E5}
424,4-002,4-002,OJAI VALLEY,OJAI VALLEY,SRO,{38739455-0D46-4850-994D-9445170437DE}
425,4-003,4-003.01,VENTURA RIVER VALLEY,VENTURA RIVER VALLEY - UPPER VENTURA RIVER,SRO,{9FC27FFF-F204-422A-9AA7-930E524BA654}
426,4-008,4-008,LAS POSAS VALLEY,LAS POSAS VALLEY,SRO,{26D387A0-56A2-4E82-A0C8-1BACFB95DF7C}
427,3-014,3-014,SAN ANTONIO CREEK VALLEY,SAN ANTONIO CREEK VALLEY,SRO,{02A6041D-9E3C-4864-ADEB-07E0DE17EF59}
428,3-015,3-015,SANTA YNEZ RIVER VALLEY,SANTA YNEZ RIVER VALLEY,SRO,{660E36E2-6CD5-4E55-B7AB-662EA2296BDC}
429,4-004,4-004.07,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - SANTA CLARA RIVER VALLEY EAST,SRO,{BF479CAD-53BB-49E8-A547-5472F1EBED4E}
430,8-004,8-004.02,ELSINORE,ELSINORE - BEDFORD-COLDWATER,SRO,{983084E7-B5E9-419D-AADB-4392952037AE}
431,8-002,8-002.09,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - TEMESCAL,SRO,{26C879EB-9046-4BE9-86F4-A5B14335FD07}
432,8-004,8-004.01,ELSINORE,ELSINORE - ELSINORE VALLEY,SRO,{FE898498-7CB6-4332-9DE7-867A2EEB20A8}
433,8-002,8-002.06,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - SAN BERNARDINO,SRO,{1AB23CAF-A18F-4F8B-AE50-DE89C943A4D5}
434,4-011,4-011.04,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,SRO,{552C6A14-6D1E-4FB7-8707-DC369649795F}
435,8-002,8-002.01,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - CHINO,SRO,{55068E6F-916E-455D-AC40-63FD73AE1910}
436,4-013,4-013,SAN GABRIEL VALLEY,SAN GABRIEL VALLEY,SRO,{30DF827D-EA75-4736-AF54-FE88F1236B04}
437,8-002,8-002.02,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - CUCAMONGA,SRO,{51CFDFE2-F22E-4C2A-8887-3621A03653C7}
438,4-023,4-023,RAYMOND,RAYMOND,SRO,{78811CC8-DB4A-4101-B3A8-FFC2E77ACFA7}
439,8-002,8-002.04,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - RIALTO-COLTON,SRO,{B95D4FA5-34B7-4E09-8069-AB8C282AF98B}
440,8-002,8-002.03,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - RIVERSIDE-ARLINGTON,SRO,{DC00C914-AEF7-4BB8-A179-BC1792D5B3E4}
441,8-002,8-002.07,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - YUCAIPA,SRO,{3825040F-7700-445B-AE45-2435BCE2B2D4}
442,5-022,5-022.16,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - COSUMNES,NCRO,{4C9A0921-3F2D-43C2-BC7E-3E1E3EBCDE3D}
443,2-009,2-009.04,SANTA CLARA VALLEY,SANTA CLARA VALLEY - EAST BAY PLAIN,NCRO,{9CD8101B-8CEB-4BAC-BC72-E2783DD6B2D1}
444,2-009,2-009.01,SANTA CLARA VALLEY,SANTA CLARA VALLEY - NILES CONE,NCRO,{11FAFF0D-79CD-4CE0-9D54-E33420A62B41}
445,2-009,2-009.02,SANTA CLARA VALLEY,SANTA CLARA VALLEY - SANTA CLARA,NCRO,{D443ED79-D812-45AD-BC36-586E9EFEA06C}
446,3-003,3-003.01,GILROY-HOLLISTER VALLEY,GILROY-HOLLISTER VALLEY - LLAGAS AREA,SCRO,{3D913216-A2C3-4236-9F0C-F608C9B6E9CD}
447,8-002,8-002.05,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - CAJON,SRO,{35019BD4-7307-4418-95D8-91DDEDF6EC4F}
448,9-010,9-010,SAN PASQUAL VALLEY,SAN PASQUAL VALLEY,SRO,{97EEA71B-9303-404C-A42E-925E6C3C6554}
449,5-022,5-022.14,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KERN COUNTY,SCRO,{49E8186C-A9AE-47E2-A1A1-E7606E4C7511}
450,1-009,1-009,EUREKA PLAIN,EUREKA PLAIN,NRO,{FAD34418-111C-4250-9BAC-599F5B3DE5E0}
451,3-001,3-001,SANTA CRUZ MID-COUNTY,SANTA CRUZ MID-COUNTY,SCRO,{62F44CAF-AB14-491A-A885-994762BF9B99}
452,3-027,3-027,SANTA MARGARITA,SANTA MARGARITA,SCRO,{01D6FB44-3C3E-40D6-A179-AC77E14FEFD6}
453,3-026,3-026,WEST SANTA CRUZ TERRACE,WEST SANTA CRUZ TERRACE,SCRO,{6FFA554A-E99E-45D9-B5E1-311E54C35685}
454,5-022,5-022.12,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TULARE LAKE,SCRO,{D366CB71-C635-418A-98CF-AF9EDC4C5B1A}
455,3-004,3-004.11,SALINAS VALLEY,SALINAS VALLEY - ATASCADERO AREA,SCRO,{8F82A9E4-5E49-4893-A9EF-4EB54CE6755A}
456,7-024,7-024.02,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,SRO,{195F8EA3-B35B-419D-B467-E059F97BF26F}
457,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,SRO,{BA0472C9-AB2A-427D-B44D-ECFF1E0D6724}
458,7-025,7-025,OCOTILLO-CLARK VALLEY,OCOTILLO-CLARK VALLEY,SRO,{F59FB47F-E366-4CA6-9617-C2BD26CBDD39}
459,6-005,6-005.01,TAHOE VALLEY,TAHOE VALLEY - TAHOE SOUTH,NCRO,{052B5590-8C3A-42F9-A4D8-00199AB14353}
460,5-022,5-022.13,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TULE,SCRO,{5EB99F38-CE88-4AD0-8772-F5940FFD9D20}
461,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,SCRO,{942A10EC-8095-49A7-8C5C-9C6CFABEE609}
462,3-004,3-004.06,SALINAS VALLEY,SALINAS VALLEY - PASO ROBLES AREA,SCRO,{CF68F609-9FB0-4A99-9B33-D601ED755AF6}
463,3-004,3-004.05,SALINAS VALLEY,SALINAS VALLEY - UPPER VALLEY AQUIFER,SCRO,{F0724B86-0CFF-44F7-A325-CDDB5CB98291}
464,7-012,7-012,WARREN VALLEY,WARREN VALLEY,SRO,{7E00E71F-C0AD-4391-8491-4083B2E2E8DB}
465,7-062,7-062,JOSHUA TREE,JOSHUA TREE,SRO,{0A7E4DDA-F424-4AAB-AACD-30137BFB33FE}
466,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,SRO,{507CF5B4-B1CB-4544-AA41-FC6C158B855E}
467,3-018,3-018,CARPINTERIA,CARPINTERIA,SRO,{26E6636D-E318-4756-BE32-9AF44B37A01B}
468,3-049,3-049,MONTECITO,MONTECITO,SRO,{0DF3DDAE-5783-48C1-A144-1ABC21C5E609}
469,5-022,5-022.05,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - CHOWCHILLA,SCRO,{2BF61039-EA86-48E9-85C8-3361664E67E0}
470,5-022,5-022.04,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MERCED,SCRO,{E5713211-9E15-40EA-B5D1-A187C6F124CA}
471,6-012,6-012.01,OWENS VALLEY,OWENS VALLEY - OWENS VALLEY,SRO,{3A154532-5B19-4E56-B48E-3850D3708619}
472,2-027,2-027,SAND POINT AREA,SAND POINT AREA,NCRO,{C334979D-27CA-4E06-ACE8-B0777B123152}
473,2-002,2-002.03,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - NAPA-SONOMA LOWLANDS,NCRO,{F633DB17-4084-401E-A647-335DEDF6D97D}
474,2-001,2-001,PETALUMA VALLEY,PETALUMA VALLEY,NCRO,{5EE7FA03-EDA6-4EA7-AE6D-E545BA64B9F5}
475,2-002,2-002.02,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - SONOMA VALLEY,NCRO,{0E0E8D82-89AF-436E-8472-D79D180A3FCA}
476,1-059,1-059,WILSON GROVE FORMATION HIGHLANDS,WILSON GROVE FORMATION HIGHLANDS,NCRO,{02C083EE-93A9-4E69-B379-078579AE36B1}
477,1-055,1-055.01,SANTA ROSA VALLEY,SANTA ROSA VALLEY - SANTA ROSA PLAIN,NCRO,{5B7A8F0F-B742-4953-A846-E7ACD5ACD22B}
478,5-021,5-021.56,SACRAMENTO VALLEY,SACRAMENTO VALLEY - LOS MOLINOS,NRO,{DA54C319-C882-4693-8878-46CD5694D527}
479,5-006,5-006.01,REDDING AREA,REDDING AREA - BOWMAN,NRO,{EDB2E708-46D3-48AB-AB65-09B516B04C4B}
480,5-006,5-006.06,REDDING AREA,REDDING AREA - SOUTH BATTLE CREEK,NRO,{CDB97FB9-A2C3-4F6E-80AE-E30D55DA96DB}
481,5-006,5-006.05,REDDING AREA,REDDING AREA - MILLVILLE,NRO,{C5984CB0-E233-4746-ABE7-22272A5C194B}
482,5-022,5-022.07,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - DELTA-MENDOTA,SCRO,{7BA9CCBC-A7C5-4DD7-AC89-9DD2E4D9A18D}
483,4-004,4-004.05,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - FILLMORE,SRO,{4C5FF569-12F1-4B89-8973-8BC6F012741B}
484,5-022,5-022.15,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TRACY,NCRO,{98E79783-EF63-4090-ACEB-222A2F3E4D93}
485,5-012,5-012.01,SIERRA VALLEY,SIERRA VALLEY - SIERRA VALLEY,NRO,{FB099801-10A0-4B10-8D6D-351BD426F6DF}
486,5-021,5-021.66,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOLANO,NCRO,{CEEB5EFD-EE48-47D0-9F48-C1FA7ED5C682}
487,5-021,5-021.67,SACRAMENTO VALLEY,SACRAMENTO VALLEY - YOLO,NCRO,{D84B04C8-1AEF-440C-81D9-24C290B855DB}
488,5-022,5-022.01,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN,NCRO,{06E581E0-646C-4EAB-BE9C-5AD9D0B59E5F}
489,5-021,5-021.65,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOUTH AMERICAN,NCRO,{60A00A42-3827-4398-ADBC-1BF1A5374911}
490,5-021,5-021.60,SACRAMENTO VALLEY,SACRAMENTO VALLEY - NORTH YUBA,NCRO,{966D7405-E56F-464C-AB0E-B676CA61B563}
491,5-021,5-021.51,SACRAMENTO VALLEY,SACRAMENTO VALLEY - CORNING,NRO,{15498A8E-1D78-41A6-88CE-257609B488CE}
492,5-021,5-021.52,SACRAMENTO VALLEY,SACRAMENTO VALLEY - COLUSA,NRO,{6816149C-2906-4278-99EA-4FB86C4C8630}
493,4-004,4-004.06,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - PIRU,SRO,{3DDE2F7D-C874-47E6-A91D-3F2B59FE231B}
494,4-004,4-004.02,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - OXNARD,SRO,{26B24E69-348F-4B3B-BDA7-999EBAE71877}
495,4-004,4-004.04,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - SANTA PAULA,SRO,{84CCAE28-6421-4516-9F68-0F901B2A3CBC}
496,4-004,4-004.03,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - MOUND,SRO,{CCB88D24-169A-423E-B210-1C764E24D1EC}
497,9-015,9-015,SAN DIEGO RIVER VALLEY,SAN DIEGO RIVER VALLEY,SRO,{B9F26823-0D5A-4C02-9D69-8319FBAE5C97}
498,8-002,8-002.08,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - SAN TIMOTEO,SRO,{348E12FB-7C66-47FF-8099-8E4B24830268}
499,8-005,8-005,SAN JACINTO,SAN JACINTO,SRO,{6488B76E-944A-4AFE-A577-91AF013EBCEC}
500,5-021,5-021.61,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOUTH YUBA,NCRO,{9BCE18BA-77CD-4674-A64C-66D631FCC44A}
501,5-021,5-021.64,SACRAMENTO VALLEY,SACRAMENTO VALLEY - NORTH AMERICAN,NCRO,{1DE90A0E-44AA-477E-B0D7-651B62E33F04}
502,5-022,5-022.19,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - EAST CONTRA COSTA,NCRO,{875C0908-9D15-421D-A5EA-4ED1FC287DCC}
503,5-021,5-021.57,SACRAMENTO VALLEY,SACRAMENTO VALLEY - VINA,NRO,{C86DB553-870A-4202-9B1D-5A02613245B5}
504,3-008,3-008.02,LOS OSOS VALLEY,LOS OSOS VALLEY - WARDEN CREEK,SCRO,{DA9BD24B-8F07-486F-949E-6DEE4DEE232E}
505,3-003,3-003.05,GILROY-HOLLISTER VALLEY,GILROY-HOLLISTER VALLEY - NORTH SAN BENITO,SCRO,{4C68ED76-2D20-4AB6-AA5B-1FBC079103EE}
506,3-008,3-008.01,LOS OSOS VALLEY,LOS OSOS VALLEY - LOS OSOS AREA,SCRO,{B2643DD0-8D56-496C-AAA6-E2D3CEC06112}
507,3-012,3-012.02,SANTA MARIA RIVER VALLEY,SANTA MARIA RIVER VALLEY - ARROYO GRANDE,SRO,{76031160-F436-41E9-8548-4F718B8135D0}
508,5-021,5-021.69,SACRAMENTO VALLEY,SACRAMENTO VALLEY - WYANDOTTE CREEK,NRO,{42DAC41A-C7CE-47FE-A52F-6EC363FE023A}
509,5-021,5-021.62,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SUTTER,NCRO,{5725923D-5DD1-4399-9E54-33CB20AD8DBB}
510,3-012,3-012.01,SANTA MARIA RIVER VALLEY,SANTA MARIA RIVER VALLEY - SANTA MARIA,SRO,{5E4F89A7-EFE8-4FF0-BFE0-EFE87D7D9A1F}
511,5-022,5-022.08,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KINGS,SCRO,{AB48845E-F785-47C6-A429-7D7FA680CF7C}
512,5-021,5-021.70,SACRAMENTO VALLEY,SACRAMENTO VALLEY - BUTTE,NRO,{25D3FE48-FA35-4694-A8F4-8DDDDA6CEA77}
513,5-022,5-022.06,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MADERA,SCRO,{A5D88471-3C4B-4716-AEEF-A891EAF4B915}
514,9-007,9-007.01,SAN LUIS REY VALLEY,SAN LUIS REY VALLEY - UPPER SAN LUIS REY VALLEY,SRO,{21F60781-D335-4F24-8742-2D4ED87F5E69}
515,9-007,9-007.02,SAN LUIS REY VALLEY,SAN LUIS REY VALLEY - LOWER SAN LUIS REY VALLEY,SRO,{58CE25FA-A23C-4772-AD8B-24D9AF0CB204}
